127.0.0.1 - - [14/Mar/2018:19:46:13 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:19 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:19 -0300] "GET /AulaBanco1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:19 -0300] "GET /AulaBanco1/bootstrap/css/bootstrap.css HTTP/1.1" 200 187126
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:19 -0300] "GET /AulaBanco1/bootstrap/js/bootstrap.js HTTP/1.1" 200 118942
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:33 -0300] "GET /AulaBanco1/cadastro.jsp HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:43 -0300] "POST /AulaBanco1/cadastrar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:43 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:58 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:58 -0300] "GET /AulaBanco1/bootstrap/css/bootstrap.css HTTP/1.1" 200 187126
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:58 -0300] "GET /AulaBanco1/bootstrap/js/bootstrap.js HTTP/1.1" 200 118942
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:58 -0300] "GET /AulaBanco1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [14/Mar/2018:19:46:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
