127.0.0.1 - - [08/Apr/2018:16:42:08 -0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:42:12 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:43:05 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:43:14 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:43:14 -0300] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:46:01 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:54:47 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:54:47 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:54:47 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:54:47 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:55:03 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:55:03 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:55:03 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:55:03 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:57:06 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:57:06 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:57:06 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:57:06 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:59:18 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:59:18 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:59:18 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:16:59:18 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/cardapio.html HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/meuestilo.css HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/original.jpg HTTP/1.1" 200 54363
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/carborana.jpg HTTP/1.1" 200 19155
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/lasa.jpg HTTP/1.1" 200 96453
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/pesto-receita.jpg HTTP/1.1" 200 155742
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/lasa.jpg HTTP/1.1" 200 96453
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/pesto-receita.jpg HTTP/1.1" 200 155742
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/lasabo.jpg HTTP/1.1" 200 72833
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:07:32 -0300] "GET /Cardapio/HTML1/sici.jpg HTTP/1.1" 200 130834
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/cardapio.html HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/meuestilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/carborana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/lasa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/pesto-receita.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/lasabo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:42 -0300] "GET /Cardapio/HTML1/sici.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/cardapio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/meuestilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/carborana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/original.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/lasa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/pesto-receita.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/lasabo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:16:52 -0300] "GET /Cardapio/HTML1/sici.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:17:33 -0300] "GET /Cardapio/HTML1/excluir.jsp?codigo= HTTP/1.1" 500 2894
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:18:05 -0300] "GET /Cardapio/HTML1/cardapio.html HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:18:48 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:01 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:01 -0300] "GET /AulaBanco1/bootstrap/js/bootstrap.js HTTP/1.1" 200 118942
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:01 -0300] "GET /AulaBanco1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:01 -0300] "GET /AulaBanco1/bootstrap/css/bootstrap.css HTTP/1.1" 200 187126
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:10 -0300] "GET /AulaBanco1/bootstrap/js/bootstrap.js.map HTTP/1.1" 200 195373
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:10 -0300] "GET /AulaBanco1/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 411645
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:19:28 -0300] "GET /AulaBanco1/cadastro.jsp?codigo=1&nome=lucas&telefone=190 HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:29:25 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:29:25 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:29:25 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:29:25 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:17:29:25 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:23 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:23 -0300] "GET /Cardapio/HTML1/bootstrap/jquery-3.3.1.min.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:23 -0300] "GET /Cardapio/HTML1/bootstrap/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:23 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:23 -0300] "GET /Cardapio/HTML1/bootstrap/js/bootstrap.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:26:27 -0300] "GET /Cardapio/HTML1/excluir.jsp?codigo= HTTP/1.1" 500 2894
0:0:0:0:0:0:0:1 - - [08/Apr/2018:18:27:37 -0300] "GET /AulaBanco1/consultar.jsp HTTP/1.1" 200 3357
0:0:0:0:0:0:0:1 - - [08/Apr/2018:19:44:03 -0300] "GET /Cardapio/HTML1/cadastrar.jsp HTTP/1.1" 500 2715
0:0:0:0:0:0:0:1 - - [08/Apr/2018:19:44:18 -0300] "GET /Cardapio/HTML1/consultar.jsp HTTP/1.1" 500 5577
